Tina,Krueger,42,92,29,42,20,67,3,98
Hong,Kirk,33,59,55,55,96,29,52,7
Amparo,Ware,79,28,27,12,33,90,53,29
Keara,Carmody,55,57,83,89,92,81,71,18
Ramon,Hawkins,85,68,65,28,71,28,7,42
Sonja,Bullock,44,17,80,57,63,54,87,3
Lenore,Lynn,65,100,13,19,49,92,28,52
Vivian,Juarez,74,86,30,66,94,79,24,13
Winston,Cooke,86,88,9,31,15,97,9,98
Linda,Spence,88,71,5,42,100,74,74,34
Woodrow,Holmes,92,44,30,68,75,81,77,89
Sophie,Moody,36,29,55,28,40,36,0,64
Corey,Lozano,32,51,72,27,76,8,23,37
Palmer,Rowe,25,55,85,69,68,40,8,56
